Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;0;0;0,102714285714285;
1;2;1;0,15792857142857;19,6763717819841
2;1;2;0,213142857142856;14,4192939914358
3;0;3;0,268357142857141;16,0289145589729
3,999;0;4;0,32357142857143;15,5378648332282
5;0;5;0,378785714285716;15,992349260114
6,001;0;6;0,434000000000001;10,0126189036042
7;0;7;0,489214285714286;11,0818697507953
8,001;0;8;0,544428571428572;16,0014481310559
9;0;9;0,599642857142857;9,01062893789514
10,001;0;10;0,654857142857143;10,9952654387021
11;0;11;0,710071428571428;9,00282058368887
12;0;12;0,765285714285714;22,9892823965467
13;0;13;0,820500000000003;10,0015632443351
14,001;0;14;0,875714285714288;10,0000010000001
15,001;0;15;0,930928571428574;14,0013511303841
16;0;16;0,986142857142859;11,0074950033478
17;0;17;1,04135714285714;15,0007860411886
18;0;18;1,09657142857143;8,88695350790272
19,001;0;19;1,15178571428572;8,98757737055842
20,001;0;20;1,207;17,0130830608738
21,001;0;21;1,26221428571429;10,9993488385488
22,001;0;22;1,31742857142857;20,0323181388534
23;0;23;1,37264285714286;10,998389835728
24,001;0;24;1,42785714285714;17,7498277157347
25,001;0;25;1,48307142857143;8,0135605471579
26;0;26;1,53828571428571;13,3281679278075
27;0;27;1,5935;15,5458152386521
28;0;28;1,64871428571429;19,9618905329847
29;0;29;1,70392857142857;11,0922751953544
30,001;0;30;1,75914285714286;12,2060085741662
31;0;31;1,81435714285714;11,0126601541132
32;0;32;1,86957142857143;14,4424128783662
33;0;33;1,92478571428571;12,0185879481206
34;0;34;1,98;15,5279606441619
35,001;0;35;2,03521428571429;14,0030498642604
36;0;36;2,09042857142857;15,0084827944754
37;0;37;2,14564285714286;15,5473102986605
38;0;38;2,20085714285714;11,1079823627456
39;0;39;2,25607142857143;14,4269685765088
40,001;0;40;2,31128571428571;17,0024024394647
41;0;41;2,3665;14,4427915471896
42,001;1;42;2,42171428571429;11,0199118787738
43;0;43;2,47692857142857;9,98069954501318
43,999;2;44;2,53214285714286;13,0060855474276
45;0;45;2,58735714285715;14,0084120514369
46,001;2;46;2,64257142857143;7,99153616404866
47;4;47;2,69778571428571;11,0131706507813
47,999;5;48;2,753;13,9856367510567
49,001;9;49;2,80821428571429;11,0085800873201
50;4;50;2,86342857142857;13,9991768484013
51,001;5;51;2,91864285714286;8,00697647860581
52,001;5;52;2,97385714285714;16,0000736003386
53;9;53;3,02907142857143;14,4337362159207
54;4;54;3,08428571428571;15,5314421287927
