Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;1;0;0,102714285714285;
1;0;1;0,15792857142857;21,8559910932465
2,001;0;2;0,213142857142856;24,4264014758876
3;0;3;0,268357142857141;31,0796032999435
4;0;4;0,32357142857143;15,998001849569
5,001;0;5;0,378785714285716;25,0008625297573
6;0;6;0,434000000000001;16,0246683744957
6,999;0;7;0,489214285714286;21,9829192717259
7,999;0;8;0,544428571428572;21,9686989976681
9;0;9;0,599642857142857;22,990020032304
10;0;10;0,654857142857143;23,0274026091048
10,999;0;11;0,710071428571428;24,9783512629604
12;0;12;0,765285714285714;24,4439854407178
13;0;13;0,820500000000003;28,8837379556201
14;0;14;0,875714285714288;18,0196233698498
15;0;15;0,930928571428574;16,6421915502934
16;0;16;0,986142857142859;22,0210080416718
17;0;17;1,04135714285714;16,0056003595658
17,999;0;18;1,09657142857143;33,0408715581174
19;0;19;1,15178571428572;23,9652527799943
20;0;20;1,207;27,7694932123028
21;0;21;1,26221428571429;25,0642145175941
22;0;22;1,31742857142857;23,3180574148314
22,999;0;23;1,37264285714286;28,8543534338678
24;0;24;1,42785714285714;17,7646753427861
25,001;0;25;1,48307142857143;18,8183493518075
26;0;26;1,53828571428571;17,0510542666853
27;0;27;1,5935;19,0199328896684
28;0;28;1,64871428571429;15,5422220559451
29;0;29;1,70392857142857;22,9909783400993
30;0;30;1,75914285714286;27,0386138444312
31,001;0;31;1,81435714285714;22,1814576323069
32,001;0;32;1,86957142857143;21,997828814296
33,001;0;33;1,92478571428571;36,9913514220375
34;0;34;1,98;26,0135921018732
35,001;0;35;2,03521428571429;24,4152519415397
36;1;36;2,09042857142857;33,9968450927754
37;0;37;2,14564285714286;28,059022153099
38;0;38;2,20085714285714;19,99978000242
39;0;39;2,25607142857143;19,9698913947441
40;0;40;2,31128571428571;18,0253761245081
41,001;0;41;2,3665;26,639636315685
42;0;42;2,42171428571429;26,6513894979533
43;3;43;2,47692857142857;26,003734136222
44;7;44;2,53214285714286;16,6638097490619
45,001;4;45;2,58735714285715;13,0019606956729
46,001;8;46;2,64257142857143;23,3028894029334
47;10;47;2,69778571428571;31,0728224887333
48,001;9;48;2,753;22,2118591559338
49;7;49;2,80821428571429;27,0423429005136
50;13;50;2,86342857142857;16,6465890306747
51;13;51;2,91864285714286;17,0150549205937
52,001;9;52;2,97385714285714;17,9633762684639
53;11;53;3,02907142857143;20,0246944531997
54,001;12;54;3,08428571428571;22,9937732861941
55,001;8;55;3,1395;15,0012030964883
56;15;56;3,19471428571429;20,942007393127
57,001;11;57;3,24992857142857;19,0506461427706
58;8;58;3,30514285714286;25,543584129127
58,999;9;59;3,36035714285714;14,007861211712
60,001;14;60;3,41557142857143;25,5488191835642
61,001;6;61;3,47078571428571;21,082616783272
62,001;8;62;3,526;25,0341190007862
63;25;63;3,58121428571429;16,0054530578568
64,001;8;64;3,63642857142857;32,1973479821644
64,999;9;65;3,69164285714286;21,0886868074725
66;13;66;3,74685714285714;27,0617603494696
67;9;67;3,80207142857143;15,0018407258571
67,999;4;68;3,85728571428571;23,3126291283752
69,001;8;69;3,9125;24,4220765359016
70,001;11;70;3,96771428571429;19,9707517246131
71;11;71;4,02292857142857;18,0403870144092
72,001;10;72;4,07814285714286;19,9965272697642
73;5;73;4,13335714285714;21,0959173626284
74,001;14;74;4,18857142857143;19,9929402706467
75,001;7;75;4,24378571428572;19,989876238234
76;12;76;4,299;20,0081933551789
77;7;77;4,35421428571429;19,9985356627776
78,001;10;78;4,40942857142857;17,7677962246987
79;13;79;4,46464285714286;13,0071578389588
80;11;80;4,51985714285714;23,0039658837184
81;12;81;4,57507142857143;25,542656514016
82;11;82;4,63028571428571;22,1145807291111
83;8;83;4,6855;31,178017124375
83,999;15;84;4,74071428571429;13,3114803198083
85;15;85;4,79592857142857;23,2902334624093
86;6;86;4,85114285714286;27,0355192652106
87;6;87;4,90635714285714;27,7364320031384
88,001;13;88;4,96157142857143;29,0165452340925
89;15;89;5,01678571428572;21,0164979508915
90;5;90;5,072;18,8765163810964
91;15;91;5,12721428571429;31,0523634896513
92,001;10;92;5,18242857142857;20,0146246862583
93;7;93;5,23764285714286;22,0208449318125
94;14;94;5,29285714285714;18,9916854401143
95,001;16;95;5,34807142857143;26,6324232886338
96,003;11;96;5,40328571428572;20,0021282264433
97;11;97;5,4585;19,0281330947806
97,999;13;98;5,51371428571429;17,7664605424123
99;8;99;5,56892857142857;19,0228235837358
100,001;12;100;5,62414285714286;15,5520217906042
101;3;101;5,67935714285714;22,0047354190622
102;19;102;5,73457142857143;27,0007641216246
103;11;103;5,78978571428571;12,2009099438636
104;5;104;5,845;22,0000836003177
104,999;8;105;5,90021428571429;22,0079162474742
106;7;106;5,95542857142857;21,0087543479368
107;15;107;6,01064285714286;31,0994384552109
108;10;108;6,06585714285714;22,0273204855983
109;13;109;6,12107142857143;26,6225324240259
110,001;5;110;6,17628571428572;19,0113155350064
111,001;10;111;6,2315;26,6231289764139
112;12;112;6,28671428571429;29,0454677752554
113;11;113;6,34192857142857;23,9889530871034
114,001;11;114;6,39714285714286;26,6642935445412
115;17;115;6,45235714285714;25,0013400718279
116;10;116;6,50757142857143;26,990650438688
117;11;117;6,56278571428571;27,0392528834108
118;13;118;6,618;18,8765520134508
119;9;119;6,67321428571429;21,1044538283979
120,001;6;120;6,72842857142857;15,5360871121721
121;6;121;6,78364285714286;19,0287105184302
122;13;122;6,83885714285714;23,2924679922669
123;10;123;6,89407142857143;9,00555192276038
123,999;8;124;6,94928571428571;31,0050786318799
125;7;125;7,0045;22,0034545423632
126;10;126;7,05971428571429;17,7712379622077
127,001;17;127;7,11492857142857;15,9876655160544
128,001;6;128;7,17014285714286;26,0268909837644
129;6;129;7,22535714285714;23,0039428758089
