Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;0;0;0,102714285714285;
0,999;1;1;0,15792857142857;6,55770170916658
2;0;2;0,213142857142856;6,6567569744507
3;0;3;0,268357142857141;13,0112547353461
4;0;4;0,32357142857143;13,3270444491361
4,999;0;5;0,378785714285716;14,9995980107733
6;0;6;0,434000000000001;14,4361917548246
7,001;0;7;0,489214285714286;9,9991933983992
8,001;0;8;0,544428571428572;9,99839692369324
9;0;9;0,599642857142857;4,44432592908634
10;0;10;0,654857142857143;12,0036250947786
11;0;11;0,710071428571428;11,1095175125435
12;0;12;0,765285714285714;12,0006216322005
13;0;13;0,820500000000003;9,9994350319207
14;0;14;0,875714285714288;14,4409545470956
15;0;15;0,930928571428574;6,99985860285622
16;0;16;0,986142857142859;12,2188661069982
17;0;17;1,04135714285714;15,5494273534641
18;0;18;1,09657142857143;5,55425585968439
19,001;0;19;1,15178571428572;10,9912355887415
19,999;0;20;1,207;3,99944807616549
21;0;21;1,26221428571429;14,0229808610351
22;0;22;1,31742857142857;13,0111505560265
23,001;0;23;1,37264285714286;5,54725932105984
23,999;0;24;1,42785714285714;8,88700188215591
24,999;0;25;1,48307142857143;11,098372645619
26;0;26;1,53828571428571;6,00006420068695
27;0;27;1,5935;15,0177660171983
27,999;0;28;1,64871428571429;14,0202466381702
29;0;29;1,70392857142857;9,99791932190112
30;0;30;1,75914285714286;12,2076571308588
31;0;31;1,81435714285714;7,00741244087996
32,001;0;32;1,86957142857143;13,3190272182091
33,001;0;33;1,92478571428571;15,5510561166525
33,999;0;34;1,98;8,00952011560941
34,999;0;35;2,03521428571429;11,0985352375164
35,999;0;36;2,09042857142857;4,99903768524559
37,001;0;37;2,14564285714286;10,0011291274785
38;0;38;2,20085714285714;19,9861385026074
39;1;39;2,25607142857143;10,0110151199365
40;0;40;2,31128571428571;3,33321407834075
41;1;41;2,3665;12,2103144522281
42;0;42;2,42171428571429;18,0159946000059
43;4;43;2,47692857142857;13,3189651297284
44;0;44;2,53214285714286;9,98304678994132
45;1;45;2,58735714285715;10,0158009275433
46;1;46;2,64257142857143;12,001155711295
47;3;47;2,69778571428571;7,77441318451626
48,001;4;48;2,753;13,003235204919
49;1;49;2,80821428571429;11,092126320684
50,001;6;50;2,86342857142857;14,0211452892107
51;5;51;2,91864285714286;9,98954205941291
52,001;3;52;2,97385714285714;17,0118215147706
53;3;53;3,02907142857143;5,55106967447306
54;5;54;3,08428571428571;9,9855597710644
55,001;1;55;3,1395;12,2209322349308
56;2;56;3,19471428571429;10,9986955547072
57;4;57;3,24992857142857;12,0175046973421
58,001;1;58;3,30514285714286;11,0798474748197
59;5;59;3,36035714285714;10,0151118021983
60;7;60;3,41557142857143;7,77303795196884
61;5;61;3,47078571428571;8,99960851702951
62;3;62;3,526;13,3174190176073
63;1;63;3,58121428571429;12,0187685089035
64;5;64;3,63642857142857;14,4310171846773
65;2;65;3,69164285714286;7,7752490939891
65,999;8;66;3,74685714285714;14,0110238735837
66,999;1;67;3,80207142857143;14,9942991674565
68;2;68;3,85728571428571;7,99832675004389
69;5;69;3,9125;16,0050479921367
69,999;1;70;3,96771428571429;9,99129757980799
71;3;71;4,02292857142857;11,9906269269312
72;4;72;4,07814285714286;8,88669091400283
72,999;0;73;4,13335714285714;9,00886832998404
73,999;3;74;4,18857142857143;7,00412823318064
75;2;75;4,24378571428572;8,87949044156152
76;4;76;4,299;11,098631316786
76,999;4;77;4,35421428571429;9,01051978184531
77,999;5;78;4,40942857142857;11,0848228379275
79;1;79;4,46464285714286;6,00115522238031
80;2;80;4,51985714285714;10,008120589046
81;0;81;4,57507142857143;10,0086604939254
82;3;82;4,63028571428571;17,7385892921227
83;7;83;4,6855;8,00563196208533
84;1;84;4,74071428571429;12,2178808019106
84,999;4;85;4,79592857142857;9,99754060501117
86,001;3;86;4,85114285714286;8,87918295534281
87;5;87;4,90635714285714;9,00953839830228
87,999;1;88;4,96157142857143;12,0139181241468
89;6;89;5,01678571428572;9,99084838288128
90;4;90;5,072;12,0085380705682
91;5;91;5,12721428571429;7,7697550740108
91,999;5;92;5,18242857142857;11,1002033113239
93;4;93;5,23764285714286;7,00226943552405
94;4;94;5,29285714285714;15,0006360269675
95;5;95;5,34807142857143;12,0013249462741
96,001;3;96;5,40328571428572;16,0045324835994
97;4;97;5,4585;9,98988025130543
98;7;98;5,51371428571429;10,001141130203
99;2;99;5,56892857142857;9,99592277416623
100;7;100;5,62414285714286;12,2220239538336
101;6;101;5,67935714285714;17,0003706080793
102;5;102;5,73457142857143;13,0002301040728
103;3;103;5,78978571428571;12,2048303389892
103,999;4;104;5,845;11,9862062738201
105;0;105;5,90021428571429;6,01279763849377
106;3;106;5,95542857142857;13,0040403553384
106,999;2;107;6,01064285714286;12,2189651891679
108;1;108;6,06585714285714;9,99731272234023
