Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;0;0;0,102714285714285;
1,001;0;1;0,15792857142857;10,9284314509766
2;0;2;0,213142857142856;9,99426329286989
3;0;3;0,268357142857141;12,2028779489225
4;0;4;0,32357142857143;16,0166380836413
5;0;5;0,378785714285716;7,77693009239771
6,001;0;6;0,434000000000001;16,0315902485848
6,999;0;7;0,489214285714286;15,5395446447233
8;0;8;0,544428571428572;3,33050166680507
9,001;0;9;0,599642857142857;12,018444707092
10;0;10;0,654857142857143;15,5293764777866
11;0;11;0,710071428571428;9,99551090499134
12,001;0;12;0,765285714285714;14,4161775239151
13,001;0;13;0,820500000000003;8,0142220384294
14;0;14;0,875714285714288;19,0158668392907
15;0;15;0,930928571428574;5,55218784517258
16;0;16;0,986142857142859;16,0173884769306
17,001;0;17;1,04135714285714;6,66251000070512
18;0;18;1,09657142857143;9,99001775226155
19;0;19;1,15178571428572;9,0004266202218
20;0;20;1,207;7,00417378715977
21;0;21;1,26221428571429;7,00119230304921
22;0;22;1,31742857142857;11,1108481543715
23,001;0;23;1,37264285714286;8,8873809965798
24;0;24;1,42785714285714;17,0007157301322
25;0;25;1,48307142857143;14,4409994637946
26;0;26;1,53828571428571;7,77290416686515
27;0;27;1,5935;16,0079223207565
28;0;28;1,64871428571429;7,76434718256243
29,001;0;29;1,70392857142857;10,0185262587577
30;0;30;1,75914285714286;6,6595513060712
31,001;0;31;1,81435714285714;11,0023875180914
31,999;0;32;1,86957142857143;12,9994670218521
33,001;0;33;1,92478571428571;7,0035907409729
34;0;34;1,98;12,9893227766776
35,001;0;35;2,03521428571429;17,0156475895233
36;0;36;2,09042857142857;9,9978582365911
37;0;37;2,14564285714286;7,76895655921349
38;1;38;2,20085714285714;15,9975203843404
39;0;39;2,25607142857143;13,9994386225112
40;0;40;2,31128571428571;12,2139438824797
41;0;41;2,3665;15,5528424485951
42,001;0;42;2,42171428571429;11,1028764777235
43;1;43;2,47692857142857;9,01300576732225
43,999;0;44;2,53214285714286;15,9705917523472
45,001;1;45;2,58735714285715;16,0298395463155
46;3;46;2,64257142857143;7,7770761126885
47;3;47;2,69778571428571;13,9880122734816
48,001;2;48;2,753;9,99219210109221
48,999;3;49;2,80821428571429;9,01524297281844
50;6;50;2,86342857142857;14,4387876483058
51;8;51;2,91864285714286;6,6643474737458
51,999;1;52;2,97385714285714;12,0027510305362
53;6;53;3,02907142857143;13,003449815236
54;2;54;3,08428571428571;17,0170817466573
55,001;1;55;3,1395;16,661831033038
56;4;56;3,19471428571429;18,8695245634591
57,001;8;57;3,24992857142857;9,01006875183017
58,001;9;58;3,30514285714286;8,88363865844175
59;4;59;3,36035714285714;11,0030918688151
60;4;60;3,41557142857143;8,88316714223072
61,001;3;61;3,47078571428571;14,9953289550305
62,001;5;62;3,526;14,0286127585824
62,999;3;63;3,58121428571429;28,8519519788111
64;7;64;3,63642857142857;7,99331758649769
65;5;65;3,69164285714286;11,1107740842972
65,999;2;66;3,74685714285714;8,88146595700793
67;4;67;3,80207142857143;9,01940886593861
68;8;68;3,85728571428571;14,4207751455056
69;4;69;3,9125;16,0302153529187
70;2;70;3,96771428571429;13,3135922346254
71,001;4;71;4,02292857142857;11,0917621482525
72;3;72;4,07814285714286;15,0276930327207
73;4;73;4,13335714285714;13,3329214942027
74,001;6;74;4,18857142857143;18,865221420549
75;6;75;4,24378571428572;13,0318393899976
76;7;76;4,299;11,9902722920894
77,001;3;77;4,35421428571429;14,9985856333748
78;5;78;4,40942857142857;16,0023891567011
79;5;79;4,46464285714286;9,97983186866364
80;5;80;4,51985714285714;13,0044722380027
81;10;81;4,57507142857143;9,02238182258729
82;2;82;4,63028571428571;12,1966837216961
83;6;83;4,6855;10,0085603216431
83,999;10;84;4,74071428571429;11,1016118319203
85;9;85;4,79592857142857;8,8777345086862
86;1;86;4,85114285714286;14,0259859441587
87;7;87;4,90635714285714;7,7635239478096
88;2;88;4,96157142857143;7,01111401794124
89;6;89;5,01678571428572;15,552236017179
90;6;90;5,072;13,9987597098897
91,001;4;91;5,12721428571429;15,995500465719
92;6;92;5,18242857142857;9,99552422637419
93;10;93;5,23764285714286;9,99195148308038
94,001;4;94;5,29285714285714;7,01672858261381
95;1;95;5,34807142857143;13,3194263722644
96,001;6;96;5,40328571428572;13,9963315614977
97;7;97;5,4585;16,6573940506451
98;5;98;5,51371428571429;20,0096726757715
99;7;99;5,56892857142857;10,9941906696502
100,001;8;100;5,62414285714286;17,7700675429161
101;5;101;5,67935714285714;12,9928097790683
102;4;102;5,73457142857143;12,2088575927773
103;4;103;5,78978571428571;13,0339913460313
104;3;104;5,845;11,094886688477
105;3;105;5,90021428571429;8,00394354298363
105,999;2;106;5,95542857142857;11,0879754343687
107;7;107;6,01064285714286;11,0107519993273
108;3;108;6,06585714285714;10,9994379287218
109;2;109;6,12107142857143;5,00150145073551
110;6;110;6,17628571428572;4,00423487880783
111,001;6;111;6,2315;14,4217190200952
112,001;5;112;6,28671428571429;9,99975900580796
113;8;113;6,34192857142857;10,008862848052
113,999;4;114;6,39714285714286;5,99024428815232
115;2;115;6,45235714285714;14,0094311490495
116;3;116;6,50757142857143;11,0071149991354
117,001;5;117;6,56278571428571;15,5438665678965
118;5;118;6,618;13,3315113601141
119;4;119;6,67321428571429;14,0151854534388
120;4;120;6,72842857142857;11,1090028692333
121,001;3;121;6,78364285714286;11,1009216984277
122;6;122;6,83885714285714;8,01415138852185
123,001;7;123;6,89407142857143;8,88371757817866
124,001;0;124;6,94928571428571;15,0028985600018
125;2;125;7,0045;9,00892965107014
126;4;126;7,05971428571429;8,8633064320904
127;3;127;7,11492857142857;8,00730827025827
128;4;128;7,17014285714286;14,0118820760004
128,999;4;129;7,22535714285714;12,2084172153333
130;8;130;7,28057142857143;10,0165975020609
131;5;131;7,33578571428571;9,98513989291936
132;4;132;7,391;10,0036613400505
133,001;5;133;7,44621428571429;12,9911789894662
134;5;134;7,50142857142857;8,01208221998774
135;10;135;7,55664285714286;12,2144904497675
136;4;136;7,61185714285714;10,9927096349701
137;3;137;7,66707142857143;7,00484945727927
138;4;138;7,72228571428572;5,55348410598402
139;4;139;7,7775;5,99006308434937
140;4;140;7,83271428571429;18,8861797713239
141,001;3;141;7,88792857142857;15,0284232569058
142;6;142;7,94314285714286;13,9874267021374
143;4;143;7,99835714285714;12,017215863446
144;3;144;8,05357142857143;11,1041068872446
145,001;4;145;8,10878571428571;9,99369508880953
146;0;146;8,164;7,99892414470254
147;2;147;8,21921428571429;7,0032712279906
148;5;148;8,27442857142857;6,66118229324523
149;4;149;8,32964285714286;14,9995725121834
150,001;1;150;8,38485714285714;12,2073496012913
151;2;151;8,44007142857143;9,00907484108743
