Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;1;0;0,102714285714285;
0,999;0;1;0,15792857142857;16,3800932944594
2;0;2;0,213142857142856;13,3228083147647
3;0;3;0,268357142857141;17,762843173967
3,999;0;4;0,32357142857143;14,0078289756145
4,999;0;5;0,378785714285716;19,0050857609496
5,999;0;6;0,434000000000001;18,8743472529054
6,999;0;7;0,489214285714286;22,2010596787795
8;0;8;0,544428571428572;18,0280065081104
8,999;0;9;0,599642857142857;15,5241949568322
10;0;10;0,654857142857143;19,0498687464043
11;0;11;0,710071428571428;17,7421515374905
12;0;12;0,765285714285714;23,0375904363149
12,999;0;13;0,820500000000003;17,7456581365506
14;0;14;0,875714285714288;17,0259253765709
14,999;0;15;0,930928571428574;23,0048218106515
15,999;0;16;0,986142857142859;14,4411646954847
16,999;0;17;1,04135714285714;17,7589710274597
18;0;18;1,09657142857143;15,5313301319564
18,999;0;19;1,15178571428572;24,0643142863617
20;0;20;1,207;16,6644743624839
21;0;21;1,26221428571429;19,9629465530923
22;0;22;1,31742857142857;20,006183911447
22,999;0;23;1,37264285714286;18,8875415775897
24;0;24;1,42785714285714;16,9989256678978
24,999;0;25;1,48307142857143;25,9769013393291
25,999;0;26;1,53828571428571;9,98793158226914
27;0;27;1,5935;19,0521399915148
28;0;28;1,64871428571429;28,871732663746
29;0;29;1,70392857142857;18,8865070904947
30,001;0;30;1,75914285714286;27,7719333286973
30,999;0;31;1,81435714285714;19,0012787860623
31,999;0;32;1,86957142857143;18,0159549296857
33;0;33;1,92478571428571;21,0959501549331
33,999;0;34;1,98;18,995932970751
35;0;35;2,03521428571429;17,745057862752
35,999;0;36;2,09042857142857;23,0314678945844
37;0;37;2,14564285714286;24,9875986547876
38;0;38;2,20085714285714;21,9967708740357
38,999;0;39;2,25607142857143;15,553130995246
40;3;40;2,31128571428571;16,6554150085276
40,999;1;41;2,3665;23,0373227666142
41,999;4;42;2,42171428571429;24,4389266778878
43;1;43;2,47692857142857;19,9847975644927
44;1;44;2,53214285714286;15,5444033097588
45;4;45;2,58735714285715;22,9978290049419
45,999;0;46;2,64257142857143;18,0273149876693
47;3;47;2,69778571428571;17,999217034059
48;5;48;2,753;12,1938944505365
48,999;2;49;2,80821428571429;19,0253303247944
50,001;3;50;2,86342857142857;27,0280037146488
51;5;51;2,91864285714286;19,9201423626174
52;6;52;2,97385714285714;13,0276903558514
53;3;53;3,02907142857143;19,9947347198571
53,999;3;54;3,08428571428571;15,0136864765921
54,999;3;55;3,1395;13,3078561819982
55,999;6;56;3,19471428571429;14,0167893102358
57,001;7;57;3,24992857142857;9,98767853391533
57,999;4;58;3,30514285714286;14,0351327442855
58,999;5;59;3,36035714285714;14,9999385002521
60;2;60;3,41557142857143;16,6514749710015
61;5;61;3,47078571428571;19,0189809429811
62;8;62;3,526;26,6551101955574
63;3;63;3,58121428571429;15,5139248002388
63,999;4;64;3,63642857142857;18,0454546958333
65;4;65;3,69164285714286;26,6418335176245
65,999;5;66;3,74685714285714;22,9848506849136
66,999;5;67;3,80207142857143;14,9859371965348
67,999;6;68;3,85728571428571;19,0527112308914
69;5;69;3,9125;13,3126100370423
69,999;8;70;3,96771428571429;14,4415689676011
71;6;71;4,02292857142857;15,0212264951603
72,001;7;72;4,07814285714286;24,395937189333
72,999;4;73;4,13335714285714;27,0465471075721
74,001;6;74;4,18857142857143;21,075809130817
75;2;75;4,24378571428572;22,2189955303158
75,999;4;76;4,299;14,9996265092999
76,999;4;77;4,35421428571429;23,3065877291038
77,999;4;78;4,40942857142857;24,9969278775638
78,999;7;79;4,46464285714286;13,0160096919211
79,999;7;80;4,51985714285714;9,99401913477113
80,999;4;81;4,57507142857143;11,9968148456585
81,999;4;82;4,63028571428571;15,9981858057296
83,001;6;83;4,6855;25,5420296318638
84;6;84;4,74071428571429;19,0276833765445
85;8;85;4,79592857142857;16,6408050067079
86;2;86;4,85114285714286;26,6363663201793
86,999;5;87;4,90635714285714;17,0411407219309
87,999;6;88;4,96157142857143;16,6541242606402
89;4;89;5,01678571428572;18,8720613008956
90;3;90;5,072;16,9849632120684
90,999;5;91;5,12721428571429;15,0159319037499
92;6;92;5,18242857142857;14,9984191666198
93;4;93;5,23764285714286;16,9841928117501
93,999;5;94;5,29285714285714;11,0258268969234
94,999;4;95;5,34807142857143;19,9863471042226
95,999;3;96;5,40328571428572;16,6612258508027
96,999;4;97;5,4585;23,9951409839508
