Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;0;0;0,102714285714285;
1;2;1;0,15792857142857;29,4721022537862
2;0;2;0,213142857142856;22,2181785137327
3;0;3;0,268357142857141;19,9956653840928
4;0;4;0,32357142857143;23,0043961401024
4,999;0;5;0,378785714285716;24,0093468387243
6;0;6;0,434000000000001;17,7631705305448
7;0;7;0,489214285714286;22,0110649623566
8;0;8;0,544428571428572;32,2052464789671
9,001;0;9;0,599642857142857;20,0175634101361
10,001;0;10;0,654857142857143;27,7544855966987
11,001;0;11;0,710071428571428;28,0422091331873
12,001;0;12;0,765285714285714;18,8613847984339
13;0;13;0,820500000000003;23,0239633410454
14,001;0;14;0,875714285714288;27,7431450849967
15,001;0;15;0,930928571428574;26,6548556039835
16,001;0;16;0,986142857142859;42,1793820298739
17;0;17;1,04135714285714;16,0159871583815
18;0;18;1,09657142857143;27,0321601609435
19;0;19;1,15178571428572;25,5219544845902
20;0;20;1,207;22,032864220271
21;0;21;1,26221428571429;34,351310408303
22,001;0;22;1,31742857142857;31,9887815343159
22,999;0;23;1,37264285714286;29,0473995465801
24,001;0;24;1,42785714285714;26,6479716341225
25;0;25;1,48307142857143;26,0198036725752
25,999;0;26;1,53828571428571;25,9851728603659
27;0;27;1,5935;23,0307921691301
28;0;28;1,64871428571429;28,8357893847252
29;0;29;1,70392857142857;15,0087651188294
30;0;30;1,75914285714286;29,949907116464
31;0;31;1,81435714285714;26,0451075217169
32,001;0;32;1,86957142857143;29,0295230249163
33;0;33;1,92478571428571;34,3407924857915
34;0;34;1,98;28,0316814063254
35;0;35;2,03521428571429;28,8576072426379
36,001;0;36;2,09042857142857;26,04152842538
37,001;0;37;2,14564285714286;27,7584887123992
38;0;38;2,20085714285714;22,000741424986
39;0;39;2,25607142857143;26,9717740384687
40;1;40;2,31128571428571;29,0325571095426
41;2;41;2,3665;27,0295919973187
42;3;42;2,42171428571429;29,9704790781081
43;3;43;2,47692857142857;19,9877734789629
44,001;1;44;2,53214285714286;24,4139866397787
45,001;1;45;2,58735714285715;21,9706823215102
46;2;46;2,64257142857143;34,0259515932802
47;4;47;2,69778571428571;26,0072950462605
48,001;5;48;2,753;26,9696618274103
49,001;6;49;2,80821428571429;18,0250476061535
50;6;50;2,86342857142857;25,5201052937353
51;1;51;2,91864285714286;27,0220310619248
52;4;52;2,97385714285714;28,0248608540636
53,001;5;53;3,02907142857143;15,5264383082482
54;4;54;3,08428571428571;32,037493478618
55;6;55;3,1395;37,7202041728087
56,001;7;56;3,19471428571429;29,0399706155553
57,001;6;57;3,24992857142857;25,5501218962989
58,001;7;58;3,30514285714286;24,0089289206656
59,001;6;59;3,36035714285714;28,8444364074476
59,999;7;60;3,41557142857143;26,0424831026854
61;7;61;3,47078571428571;34,4366923623638
61,999;3;62;3,526;27,0248006595653
63,001;9;63;3,58121428571429;22,2018014985772
