0.000000000000000000e+00 2.785355597571426589e-15 2.851000000000000000e+03
3.000000000000000000e+01 2.803048242428574149e-15 1.750000000000000000e+02
4.500000000000000000e+01 2.758816630285721027e-15 1.030000000000000000e+02
6.000000000000000000e+01 2.767662952714278635e-15 8.600000000000000000e+01
7.500000000000000000e+01 2.741123985428573862e-15 7.800000000000000000e+01
9.000000000000000000e+01 2.705738695714279137e-15 7.100000000000000000e+01
1.050000000000000000e+02 2.670353406000000584e-15 9.400000000000000000e+01
1.200000000000000000e+02 2.652660761142852630e-15 1.160000000000000000e+02
1.350000000000000000e+02 2.617275471428573682e-15 1.480000000000000000e+02
1.500000000000000000e+02 2.626121793857147462e-15 1.840000000000000000e+02
