Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
0;0;0;0,102714285714285;
1,001;2;1;0,15792857142857;19,6656124805843
2;0;2;0,213142857142856;21,9983127294137
2,999;0;3;0,268357142857141;13,3101928236543
4;0;4;0,32357142857143;24,0471444266484
5,001;0;5;0,378785714285716;23,3075862197559
6;0;6;0,434000000000001;20,9985385017203
7;0;7;0,489214285714286;22,9994158148383
8;0;8;0,544428571428572;21,1100086995457
9;0;9;0,599642857142857;26,0392985093103
10;0;10;0,654857142857143;19,9649096747557
11;0;11;0,710071428571428;18,8735132667476
12;0;12;0,765285714285714;14,4423053785478
13,001;0;13;0,820500000000003;18,0227934268469
14;0;14;0,875714285714288;25,5533238986017
14,999;0;15;0,930928571428574;18,8830477327902
16;0;16;0,986142857142859;21,005396286306
17,001;0;17;1,04135714285714;19,0024171074561
18;0;18;1,09657142857143;28,0301857069879
19;0;19;1,15178571428572;19,9762127697496
20,001;0;20;1,207;22,9825516467898
21;0;21;1,26221428571429;22,2050700392319
22;0;22;1,31742857142857;21,0941069171462
22,999;0;23;1,37264285714286;26,0371054790182
24;0;24;1,42785714285714;17,7574336779274
25;0;25;1,48307142857143;24,0019345559252
25,999;0;26;1,53828571428571;17,7731607055856
27;0;27;1,5935;15,9851689602387
28;0;28;1,64871428571429;14,9948043003099
29;0;29;1,70392857142857;17,0358553647863
30,001;0;30;1,75914285714286;22,1884021665643
30,999;0;31;1,81435714285714;21,1110337039875
32;0;32;1,86957142857143;25,0308304738947
33,001;0;33;1,92478571428571;17,7575854300787
34;0;34;1,98;22,1880403134504
35;0;35;2,03521428571429;23,3245607068897
36;0;36;2,09042857142857;16,0158797447669
37;0;37;2,14564285714286;26,0381354531847
38;0;38;2,20085714285714;29,9912358943998
39;0;39;2,25607142857143;21,0949875089917
40;1;40;2,31128571428571;17,7760653501491
40,999;0;41;2,3665;15,0109369686754
42;0;42;2,42171428571429;29,9914524360557
43;2;43;2,47692857142857;18,8879172104813
44;1;44;2,53214285714286;25,5397776484749
45;3;45;2,58735714285715;23,0031192229666
