U/V,I/mA
0.74,0.71
0.71,0.71
0.67,0.713
0.6768,0.715
0.55,0.7158
0.5261,0.7134
0.4895,0.7184
0.4563,0.7171
0.4188,0.7224
0.377,0.7228
0.3024,0.7218
0.2436,0.72
0.1728,0.7228
0.155,0.7244
0.1256,0.7204
0.1043,0.7248
0.0788,0.7228
0.062,0.7224
0.039,0.7246
0.0364,0.7214
