U/V,I/mA
0.1809,124.84
0.7081,124.76
1.6204,124.95
5.439,122.45
5.7102,116.39
5.733,113.53
5.805,106.81
5.859,98.54
5.88,93.4
5.909,88.78
5.922,85.01
5.93,82.18
5.953,78.38
5.973,72.11
5.989,67.49
6.004,64.18
6.019,60.07
6.039,55.19
6.059,49.67
6.091,41.89
6.1,38.38
6.093,34.57
6.101,31.95
6.111,28.66
6.122,25.12
6.127,22.48
6.136,19.3
6.138,17.03
6.144,14.5
6.15,12.15
6.154,10.38
6.153,9.13
6.153,7.87
6.152,6.94
6.151,6.21
